Case ID,Activity,Complete Timestamp,Resource,(case)_aMOUNT_REQ,concept:name
1,a1,2011-10-01 11:45:13,,20000,W_Completeren aanvraag
1,a2,2011-10-01 12:17:08,,20000,W_Nabellen offertes
1,a2,2011-10-08 16:32:00,10913,20000,W_Nabellen offertes
1,a2,2011-10-10 11:33:05,11049,20000,W_Nabellen offertes
1,a3,2011-10-13 10:37:37,10629,20000,W_Valideren aanvraag
2,a1,2011-10-01 11:43:13,,5000,W_Completeren aanvraag
2,a1,2011-10-01 14:35:48,,5000,W_Completeren aanvraag
2,a2,2011-10-01 14:36:25,,5000,W_Nabellen offertes
2,a2,2011-10-03 16:56:21,,5000,W_Nabellen offertes
2,a2,2011-10-03 16:57:16,,5000,W_Nabellen offertes
2,a2,2011-10-10 10:14:45,11049,5000,W_Nabellen offertes
2,a3,2011-10-10 11:30:54,10809,5000,W_Valideren aanvraag
2,a3,2011-10-10 14:14:13,10809,5000,W_Valideren aanvraag
2,a3,2011-10-10 14:17:34,10809,5000,W_Valideren aanvraag
3,a1,2011-10-01 11:35:59,10912,7000,W_Completeren aanvraag
3,a1,2011-10-03 11:21:22,,7000,W_Completeren aanvraag
3,a1,2011-10-03 13:32:43,11201,7000,W_Completeren aanvraag
3,a1,2011-10-03 13:40:17,11201,7000,W_Completeren aanvraag
3,a2,2011-10-03 13:44:21,11201,7000,W_Nabellen offertes
3,a2,2011-10-10 16:47:18,,7000,W_Nabellen offertes
3,a2,2011-10-10 19:34:36,11119,7000,W_Nabellen offertes
3,a2,2011-10-14 18:16:42,10912,7000,W_Nabellen offertes
3,a2,2011-10-17 19:43:57,10861,7000,W_Nabellen offertes
3,a2,2011-10-25 10:50:48,,7000,W_Nabellen offertes
3,a2,2011-10-26 18:50:22,11203,7000,W_Nabellen offertes
3,a2,2011-10-29 12:41:29,11181,7000,W_Nabellen offertes
3,a2,2011-11-01 14:55:35,11189,7000,W_Nabellen offertes
3,a2,2011-11-01 17:21:02,11119,7000,W_Nabellen offertes
3,a2,2011-11-02 09:15:18,11049,7000,W_Nabellen offertes
3,a3,2011-11-04 16:05:01,10609,7000,W_Valideren aanvraag
4,a1,2011-10-01 11:46:06,,45000,W_Completeren aanvraag
4,a1,2011-10-01 12:30:24,10912,45000,W_Completeren aanvraag
4,a2,2011-10-08 16:38:17,10913,45000,W_Nabellen offertes
4,a2,2011-10-10 12:54:04,10899,45000,W_Nabellen offertes
4,a3,2011-10-13 11:05:28,10138,45000,W_Valideren aanvraag
5,a1,2011-10-01 10:44:43,,15000,W_Completeren aanvraag
5,a2,2011-10-01 10:44:58,,15000,W_Nabellen offertes
5,a2,2011-10-01 10:46:56,,15000,W_Nabellen offertes
5,a2,2011-10-01 10:50:20,,15000,W_Nabellen offertes
5,a2,2011-10-01 10:50:34,,15000,W_Nabellen offertes
5,a2,2011-10-08 16:31:37,11002,15000,W_Nabellen offertes
5,a2,2011-10-10 10:55:07,11049,15000,W_Nabellen offertes
5,a3,2011-10-13 12:36:12,10629,15000,W_Valideren aanvraag
5,a4,2011-10-13 13:05:42,,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-13 13:53:16,10629,15000,W_Nabellen incomplete dossiers
